DIST;POWER;SWING
214.3;0.30;75
214.8;0.26;25
215.5;0.33;60
215.5;0.33;110
215.8;0.33;25
216.1;0.30;60
216.2;0.30;75
216.3;0.30;0
216.5;0.30;45
217;0.30;0
217.3;0.33;0
217.3;0.33;0
217.4;0.33;25
217.7;0.33;25
218;0.30;75
218.1;0.30;95
218.1;0.33;60
219.7;0.33;110
220.3;0.30;60
220.4;0.33;110
220.5;0.33;95
220.9;0.30;95
221.1;0.33;110
221.4;0.33;0
221.5;0.33;75
221.8;0.30;0
222.4;0.30;0
222.7;0.33;60
222.8;0.30;25
222.8;0.33;110
222.9;0.30;0
223;0.33;95
223.5;0.33;75
223.8;0.33;75
223.9;0.33;110
224.1;0.30;45
224.1;0.30;75
225.6;0.33;25
225.6;0.33;75
225.6;0.33;95
225.9;0.33;95
226.7;0.33;0
227.1;0.30;95
228.2;0.33;60
228.5;0.30;0
228.7;0.33;95
229.2;0.33;110
229.6;0.30;95
229.7;0.33;60
230.1;0.33;75
231.9;0.30;60
232.8;0.33;60
233.8;0.33;110
234;0.30;45
234.3;0.33;0
234.5;0.33;75
234.7;0.33;95
234.7;0.33;95
236.1;0.33;0
236.4;0.33;60
237.5;0.30;45
237.5;0.30;45
237.5;0.30;45
237.5;0.30;45
237.5;0.30;45
237.5;0.30;45
237.5;0.30;45
237.5;0.33;0
237.5;0.33;0
237.5;0.33;25
237.5;0.33;25
237.5;0.33;25
237.5;0.33;25
237.5;0.33;45
237.5;0.33;45
237.5;0.33;45
237.5;0.33;45
237.5;0.33;45
237.5;0.33;45
237.5;0.33;45
237.5;0.33;45
237.5;0.33;45
237.5;0.33;45
237.5;0.33;60
237.5;0.33;60
237.5;0.33;60
237.5;0.33;75
237.5;0.33;75
237.5;0.33;75
237.5;0.33;95
237.5;0.33;95
